ticker,ex_date,amount
AIPI,2024-07-26,1.48
AIPI,2024-08-27,1.457
AIPI,2024-09-26,1.479
AIPI,2024-10-24,1.47
AIPI,2024-11-26,1.51
AIPI,2024-12-24,1.486
AIPI,2025-01-29,1.448
AIPI,2025-02-26,1.355
AIPI,2025-03-26,1.28
AIPI,2025-04-23,1.102
AIPI,2025-05-28,1.233
AIPI,2025-06-25,1.274
AIPI,2025-07-23,1.271
AIPI,2025-08-27,1.231
AIPI,2025-09-24,1.248
AIPI,2025-10-29,1.303
AIPI,2025-11-25,1.201
AIPI,2025-12-24,1.208
AIPI,2026-01-28,1.162
AIPI,2026-02-25,1.038
AIPI,2026-03-25,1.023
AIPI,2026-04-22,1.052
AIPI,2026-05-27,0.259
AIPI,2026-06-03,0.264
AIPI,2026-06-10,0.253
AIYY,2024-01-05,13.49
AIYY,2024-02-07,4.02
AIYY,2024-03-06,10.63
AIYY,2024-04-04,7.25
AIYY,2024-05-06,4.08
AIYY,2024-06-06,8.75
AIYY,2024-07-05,3.97
AIYY,2024-08-07,3.57
AIYY,2024-09-06,3.6
AIYY,2024-10-24,7.24
AIYY,2024-11-21,8.6
AIYY,2024-12-19,8.72
AIYY,2025-01-16,3.76
AIYY,2025-02-13,3.71
AIYY,2025-03-13,3.22
AIYY,2025-04-10,2.3
AIYY,2025-05-08,3.25
AIYY,2025-06-05,3.21
AIYY,2025-07-03,1.6
AIYY,2025-07-31,1.81
AIYY,2025-08-28,1.18
AIYY,2025-09-25,1.39
AIYY,2025-10-16,0.9
AIYY,2025-10-23,0.29
AIYY,2025-10-30,0.35
AIYY,2025-11-06,0.3
AIYY,2025-11-13,0.29
AIYY,2025-11-20,0.26
AIYY,2025-11-28,0.27
AIYY,2025-12-04,0.377
AIYY,2025-12-11,0.298
AIYY,2025-12-18,0.275
AIYY,2025-12-26,0.208
AIYY,2026-01-02,0.173
AIYY,2026-01-08,0.189
AIYY,2026-01-15,0.185
AIYY,2026-01-22,0.164
AIYY,2026-01-29,0.14
AIYY,2026-02-05,0.133
AIYY,2026-02-12,0.15
AIYY,2026-02-19,0.15
AIYY,2026-02-26,0.154
AIYY,2026-03-05,0.171
AIYY,2026-03-12,0.104
AIYY,2026-03-19,0.103
AIYY,2026-03-26,0.109
AIYY,2026-04-02,0.115
AIYY,2026-04-09,0.095
AIYY,2026-04-16,0.151
AIYY,2026-04-23,0.143
AIYY,2026-04-30,0.135
AIYY,2026-05-07,0.139
AIYY,2026-05-14,0.15
AIYY,2026-05-21,0.104
AIYY,2026-05-28,0.145
AIYY,2026-06-04,0.186
AIYY,2026-06-11,0.147
AMDY,2023-11-08,5.59
AMDY,2023-12-07,2.215
AMDY,2024-01-05,7.055
AMDY,2024-02-07,8.37
AMDY,2024-03-06,6.87
AMDY,2024-04-04,5.565
AMDY,2024-05-06,2.555
AMDY,2024-06-06,4.505
AMDY,2024-07-05,3.675
AMDY,2024-08-07,2.155
AMDY,2024-09-06,4.645
AMDY,2024-10-17,4.605
AMDY,2024-11-14,4.07
AMDY,2024-12-12,1.52
AMDY,2025-01-08,1.7
AMDY,2025-02-06,1.905
AMDY,2025-03-06,1.265
AMDY,2025-04-03,1.385
AMDY,2025-05-01,1.685
AMDY,2025-05-29,2.115
AMDY,2025-06-26,2.315
AMDY,2025-07-24,2.83
AMDY,2025-08-21,2.72
AMDY,2025-09-18,1.22
AMDY,2025-10-16,4.75
AMDY,2025-10-23,0.95
AMDY,2025-10-30,1.16
AMDY,2025-11-06,0.605
AMDY,2025-11-13,0.735
AMDY,2025-11-20,0.9
AMDY,2025-11-28,0.55
AMDY,2025-12-04,0.77
AMDY,2025-12-11,0.304
AMDY,2025-12-18,0.427
AMDY,2025-12-26,0.412
AMDY,2026-01-02,0.38
AMDY,2026-01-08,0.398
AMDY,2026-01-15,0.321
AMDY,2026-01-22,0.354
AMDY,2026-01-29,0.547
AMDY,2026-02-05,0.347
AMDY,2026-02-12,0.35
AMDY,2026-02-19,0.279
AMDY,2026-02-26,0.304
AMDY,2026-03-05,0.328
AMDY,2026-03-12,0.306
AMDY,2026-03-19,0.321
AMDY,2026-03-26,0.329
AMDY,2026-04-02,0.327
AMDY,2026-04-09,0.498
AMDY,2026-04-16,0.698
AMDY,2026-04-23,0.868
AMDY,2026-04-30,0.945
AMDY,2026-05-07,0.914
AMDY,2026-05-14,1.094
AMDY,2026-05-21,0.974
AMDY,2026-05-28,1.159
AMDY,2026-06-04,1.173
AMDY,2026-06-11,0.671
AMZY,2023-09-08,0.471
AMZY,2023-10-06,0.634
AMZY,2023-11-08,0.544
AMZY,2023-12-07,0.469
AMZY,2024-01-05,0.368
AMZY,2024-02-07,0.684
AMZY,2024-03-06,0.643
AMZY,2024-04-04,0.697
AMZY,2024-05-06,0.973
AMZY,2024-06-06,0.954
AMZY,2024-07-05,0.765
AMZY,2024-08-07,0.474
AMZY,2024-09-06,0.656
AMZY,2024-10-24,0.763
AMZY,2024-11-21,1.173
AMZY,2024-12-19,0.862
AMZY,2025-01-16,0.401
AMZY,2025-02-13,0.548
AMZY,2025-03-13,0.418
AMZY,2025-04-10,0.488
AMZY,2025-05-08,0.796
AMZY,2025-06-05,0.596
AMZY,2025-07-03,0.59
AMZY,2025-07-31,0.642
AMZY,2025-08-28,0.49
AMZY,2025-09-25,0.46
AMZY,2025-10-16,0.255
AMZY,2025-10-23,0.096
AMZY,2025-10-30,0.201
AMZY,2025-11-06,0.294
AMZY,2025-11-13,0.107
AMZY,2025-11-20,0.085
AMZY,2025-11-28,0.083
AMZY,2025-12-04,0.195
AMZY,2025-12-11,0.083
AMZY,2025-12-18,0.081
AMZY,2025-12-26,0.079
AMZY,2026-01-02,0.065
AMZY,2026-01-08,0.066
AMZY,2026-01-15,0.096
AMZY,2026-01-22,0.061
AMZY,2026-01-29,0.065
AMZY,2026-02-05,0.075
AMZY,2026-02-12,0.078
AMZY,2026-02-19,0.088
